Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
,Luxembourg,207.3,148.9,65.6,76.3,65.3,9.1,26.1,21.8,82.6,2024
,Netherlands,198.5,103.3,73.7,78.9,64.3,7.4,23.7,21.8,87.1,2024
,Iceland,194.9,109.1,74.6,67.1,85.7,5.6,21.9,15.8,68.8,2024
,Denmark,193.6,103.3,73.7,78.0,75.2,6.8,28.7,21.9,82.5,2024
,Finland,190.4,97.3,73.7,77.3,65.5,8.3,26.0,12.0,58.9,2024
,Oman,187.0,109.6,81.0,61.0,44.4,3.1,21.9,38.4,67.2,2024
,Switzerland,186.7,118.9,74.7,72.6,112.2,11.1,33.1,22.2,79.2,2024
,Norway,184.2,94.9,67.4,75.7,79.2,7.8,26.8,18.6,71.4,2024
,Austria,181.5,84.4,70.7,76.6,66.8,11.0,24.1,21.8,77.8,2024
,Estonia,180.1,69.0,76.2,76.3,53.0,10.2,21.8,16.7,64.3,2024
,Japan,177.6,99.5,77.4,79.3,50.7,10.0,40.2,38.6,84.8,2024
,Germany,176.5,101.0,61.1,71.7,62.7,9.8,30.3,29.2,82.7,2024
,Spain,176.5,78.2,63.8,77.6,48.4,7.4,26.4,35.6,94.4,2024
,Sweden,175.0,94.6,51.6,68.6,62.2,8.1,29.1,17.7,74.0,2024
,United States,174.0,120.9,50.7,67.6,72.9,4.1,33.8,37.1,78.9,2024
,Slovenia,173.4,68.0,75.8,66.5,49.3,11.2,25.2,22.4,76.1,2024
,New Zealand,168.4,93.0,52.3,67.7,68.2,10.5,35.6,28.1,95.5,2024
,Qatar,165.9,127.4,84.0,72.3,55.0,6.7,31.0,60.5,36.0,2024
,Lithuania,165.0,61.8,67.2,74.4,48.4,11.1,23.8,26.9,67.8,2024
,Portugal,164.1,46.5,68.8,72.7,46.6,12.6,27.9,28.7,97.3,2024
,Croatia,164.0,58.0,74.0,65.1,46.9,13.4,26.0,31.3,89.0,2024
,Australia,163.8,93.6,52.9,69.8,72.8,11.0,42.8,29.4,93.8,2024
,Czech Republic,163.6,64.9,73.2,75.5,48.6,12.9,29.2,34.8,79.1,2024
,United Arab Emirates,163.2,98.7,84.4,69.2,57.8,4.2,37.4,49.0,45.8,2024
,Singapore,160.9,103.0,76.5,70.6,81.9,14.9,41.4,33.3,57.5,2024
,United Kingdom,160.3,90.1,52.6,73.5,63.7,9.9,34.6,40.5,87.7,2024
,Belgium,156.5,90.7,50.8,75.3,63.0,6.8,35.5,49.7,86.0,2024
,Saudi Arabia,155.1,105.1,73.1,60.4,47.4,3.2,30.9,64.1,55.3,2024
,Ireland,153.9,82.0,53.5,51.8,66.5,7.5,37.8,34.2,88.6,2024
,Taiwan,152.9,80.0,83.3,86.0,49.0,19.5,31.6,63.9,83.0,2024
,Latvia,152.5,51.9,62.6,62.6,51.4,9.4,29.0,30.8,74.7,2024
,France,152.0,83.4,44.7,78.1,66.0,12.3,34.8,43.4,90.6,2024
,Canada,150.2,83.3,54.8,69.1,68.4,11.0,34.6,30.2,51.4,2024
,Israel,148.9,79.5,67.6,73.5,67.2,14.2,36.8,57.0,93.8,2024
,Slovakia,148.7,55.8,68.9,59.2,47.9,14.5,27.4,37.2,78.1,2024
,Cyprus,148.3,59.4,67.6,57.2,57.1,8.1,23.4,56.4,92.8,2024
,South Korea,142.3,90.6,75.1,82.7,64.4,19.9,40.4,61.4,68.4,2024
,Kuwait,140.1,128.5,67.2,57.9,43.4,7.7,35.0,68.0,20.2,2024
,South Africa,139.9,84.7,24.6,64.0,33.8,3.3,38.7,56.3,95.3,2024
,Italy,139.1,62.8,52.7,65.6,58.9,10.7,32.8,54.0,91.1,2024
,Uruguay,139.1,47.0,47.8,68.4,55.3,10.3,37.8,43.4,98.0,2024
,Poland,137.4,66.2,69.3,55.4,41.9,12.2,32.9,57.5,75.9,2024
,Bulgaria,133.5,52.6,62.9,57.2,38.7,8.9,29.1,63.3,82.8,2024
,Hungary,133.2,49.8,66.3,54.0,43.4,13.8,35.8,48.0,79.5,2024
,Romania,129.2,48.4,66.3,56.3,38.8,11.0,33.3,58.9,74.9,2024
,Bosnia And Herzegovina,127.8,47.1,59.1,55.7,34.7,12.5,26.6,60.5,80.5,2024
,Greece,127.2,42.1,53.3,57.3,54.2,13.6,33.6,52.0,93.8,2024
,Malaysia,125.8,62.1,49.3,70.1,30.5,8.5,37.1,61.4,57.9,2024
,Malta,124.8,58.3,58.8,52.3,55.1,11.4,28.2,75.4,97.4,2024
,Mexico,123.9,38.0,46.2,72.5,43.8,10.7,39.2,58.1,90.0,2024
,Turkey,123.6,39.3,59.1,70.7,33.8,12.5,44.1,64.7,93.3,2024
,Hong Kong (China),121.9,84.1,78.2,65.8,71.5,32.1,42.4,66.9,83.6,2024
,Ecuador,121.2,36.4,37.9,67.6,33.6,11.3,37.2,58.6,99.0,2024
,Belarus,119.3,39.6,49.2,48.0,27.1,13.7,30.8,44.9,64.4,2024
,Panama,117.8,34.7,55.7,60.1,47.4,11.1,35.1,55.8,67.8,2024
,Georgia,117.6,27.9,73.9,54.5,37.2,13.0,38.9,68.4,88.5,2024
,Jordan,117.0,36.4,59.6,65.0,43.0,7.5,40.6,76.4,89.0,2024
,Serbia,115.9,39.6,61.7,52.1,38.3,16.8,30.9,65.0,83.2,2024
,Argentina,112.1,35.8,35.8,68.1,27.8,21.1,44.2,51.1,98.3,2024
,India,111.8,60.7,55.7,64.9,22.2,13.3,46.8,72.8,63.3,2024
,China,110.9,60.5,75.1,68.1,34.1,29.6,39.0,78.2,79.7,2024
,Azerbaijan,109.8,29.4,68.4,47.7,31.1,14.4,39.1,73.1,91.4,2024
,Brazil,109.1,30.1,34.4,58.9,35.2,16.5,40.6,52.6,95.1,2024
,North Macedonia,108.0,37.0,59.0,55.1,34.1,14.8,24.9,79.6,76.3,2024
,Ukraine,107.2,32.2,53.1,55.4,28.6,15.0,37.7,61.8,70.7,2024
,Russia,106.1,41.5,60.9,60.9,29.5,16.1,43.2,59.6,45.1,2024
,Kenya,105.3,30.6,43.6,61.1,24.8,12.1,51.2,69.3,99.8,2024
,Pakistan,104.0,24.5,56.8,59.8,18.5,12.5,38.2,72.9,71.9,2024
,Morocco,103.2,30.4,53.5,45.1,29.9,15.9,36.1,69.6,88.5,2024
,Colombia,102.9,28.1,38.8,68.3,30.6,18.7,47.3,62.8,96.7,2024
,Albania,100.5,31.6,54.4,49.5,40.8,14.1,36.7,77.0,86.4,2024
,Chile,99.3,36.4,40.7,63.4,39.9,17.5,36.2,77.1,90.2,2024
,Kazakhstan,98.4,36.8,54.1,60.1,33.5,10.4,35.8,73.6,39.8,2024
,Thailand,97.7,32.9,62.1,77.2,36.0,26.5,39.0,75.5,67.6,2024
,Indonesia,94.8,25.8,53.9,60.8,28.5,18.9,43.0,67.4,64.0,2024
,Vietnam,92.7,32.5,57.8,60.8,30.8,23.7,29.1,83.8,71.2,2024
,Philippines,85.9,25.9,57.2,67.4,33.6,27.0,43.1,72.5,60.8,2024
,Egypt,83.8,15.2,52.7,47.5,29.1,16.2,48.1,82.8,92.0,2024
,Lebanon,81.3,20.7,53.6,63.5,46.3,27.4,38.2,89.4,94.7,2024
,Peru,80.5,27.3,32.2,56.4,30.9,18.9,49.1,82.7,97.7,2024
,Iran,77.7,21.2,50.5,53.0,26.9,22.4,46.8,74.8,63.4,2024
,Venezuela,77.3,12.6,18.8,38.7,39.4,15.2,32.8,75.6,99.9,2024
,Sri Lanka,76.9,14.4,57.9,71.1,33.2,36.0,54.8,58.8,59.1,2024
,Bangladesh,69.1,25.8,38.5,42.3,24.9,12.7,57.7,85.6,71.3,2024
,Nigeria,47.1,9.4,33.8,48.7,19.3,21.1,63.3,87.9,60.8,2024
,Switzerland,206.2,138.1,68.2,68.0,143.9,7.1,24.6,26.8,-,2014
,United States,195.5,132.9,49.9,68.6,77.4,2.4,37.1,35.1,-,2014
,Germany,192.7,112.3,72.9,75.3,87.1,5.6,36.1,30.2,-,2014
,Sweden,180.9,106.1,61.7,75.2,103.7,9.4,34.1,17.5,-,2014
,Finland,178.9,97.9,70.8,68.7,103.3,7.8,37.0,16.7,-,2014
,Denmark,178.6,100.7,70.7,85.6,114.9,6.4,25.0,34.8,-,2014
,Canada,178.3,105.5,63.7,71.9,87.9,5.6,39.2,27.7,-,2014
,Australia,176.0,104.2,58.8,73.6,108.5,7.4,36.2,19.4,-,2014
,United Arab Emirates,173.3,110.6,79.2,60.6,68.2,5.3,28.2,53.8,-,2014
,Austria,171.8,91.5,74.2,79.7,89.5,9.2,24.5,31.7,-,2014
,New Zealand,168.6,87.6,57.1,77.8,104.5,5.3,26.6,21.0,-,2014
,Japan,168.5,99.6,81.9,85.0,94.1,8.3,47.6,40.8,-,2014
,Norway,168.4,94.4,66.3,75.7,144.4,7.4,24.5,22.6,-,2014
,Netherlands,161.0,97.5,62.9,66.2,98.8,6.1,35.1,32.4,-,2014
,United Kingdom,151.0,94.3,57.4,73.5,100.1,7.7,37.7,33.8,-,2014
,Estonia,145.4,48.7,70.9,76.3,67.3,10.2,24.7,13.4,-,2014
,Ireland,142.4,94.6,46.4,42.6,106.6,5.7,22.5,29.3,-,2014
,Kuwait,141.4,92.5,63.6,66.2,74.1,6.8,17.0,60.0,-,2014
,Saudi Arabia,139.9,100.0,70.6,50.4,68.1,3.2,23.3,71.5,-,2014
,France,136.3,92.3,52.7,82.3,100.2,10.3,28.1,46.9,-,2014
,Belgium,134.7,87.9,58.5,78.0,100.0,6.0,26.0,56.2,-,2014
,Slovenia,125.6,60.4,66.8,61.3,75.4,11.1,20.7,33.0,-,2014
,Portugal,124.7,54.6,64.9,64.8,69.3,8.4,28.9,30.9,-,2014
,Puerto Rico,123.6,85.3,40.7,59.9,76.5,5.1,28.4,47.4,-,2014
,Spain,123.6,72.5,67.6,75.2,77.2,10.5,32.0,49.8,-,2014
,Czech Republic,123.0,62.3,66.1,66.3,56.6,10.4,33.1,38.3,-,2014
,Lithuania,121.9,43.2,65.3,69.3,60.0,12.9,22.0,21.1,-,2014
,South Korea,117.9,80.6,83.7,79.2,87.6,11.4,31.2,74.2,-,2014
,Taiwan,114.1,82.3,78.5,78.3,60.2,17.3,27.6,70.8,-,2014
,South Africa,111.6,96.0,21.5,59.4,48.6,3.4,41.3,57.9,-,2014
,Slovakia,108.7,52.4,67.3,63.5,61.5,9.5,37.5,40.8,-,2014
,Croatia,108.7,48.3,71.1,55.9,69.0,13.4,33.4,28.7,-,2014
,Poland,95.2,57.6,62.5,54.8,53.7,11.4,35.3,50.5,-,2014
,Uruguay,91.9,39.6,53.4,59.6,77.4,11.6,45.0,21.3,-,2014
,Israel,91.2,69.3,66.7,75.4,91.5,12.8,46.4,63.8,-,2014
,Italy,90.6,75.4,54.4,65.0,96.8,12.2,38.0,60.4,-,2014
,Malaysia,89.1,70.5,33.6,69.4,48.7,8.0,38.7,61.1,-,2014
,Singapore,88.0,64.1,78.7,61.8,100.0,22.6,47.8,41.9,-,2014
,Mexico,83.5,60.5,47.5,70.6,47.0,6.5,39.0,71.2,-,2014
,Hungary,83.2,44.9,62.5,46.6,59.3,9.6,34.8,48.3,-,2014
,Argentina,81.1,57.1,42.5,76.7,66.8,9.0,45.0,57.5,-,2014
,India,78.0,62.3,56.3,64.6,26.7,10.2,47.7,74.3,-,2014
,Greece,77.5,44.3,57.0,59.0,83.8,11.7,37.0,45.3,-,2014
,Bosnia And Herzegovina,74.6,44.5,55.0,54.4,49.8,12.0,22.6,58.2,-,2014
,Belarus,74.4,33.9,67.1,48.0,50.3,16.8,24.8,42.7,-,2014
,Hong Kong,73.2,71.4,77.3,71.8,76.4,27.1,47.7,63.8,-,2014
,Chile,69.3,58.3,52.9,58.7,60.2,9.5,42.1,71.0,-,2014
,Serbia,69.3,37.4,60.7,54.4,51.6,16.9,24.4,49.6,-,2014
,Turkey,67.8,55.8,60.0,57.5,49.9,6.9,51.9,77.1,-,2014
,Romania,63.3,36.5,71.3,47.3,48.2,13.2,33.3,62.6,-,2014
,Bulgaria,62.6,37.4,60.0,58.0,50.0,9.9,34.7,66.7,-,2014
,Thailand,56.6,37.0,62.4,85.4,45.9,19.1,32.8,71.1,-,2014
,Ecuador,42.3,27.0,40.0,59.4,45.2,12.7,42.8,53.7,-,2014
,Kazakhstan,40.6,37.3,50.6,60.2,63.1,11.3,40.0,74.4,-,2014
,Jordan,39.5,38.3,52.4,74.1,61.5,7.9,60.2,81.8,-,2014
,Brazil,38.8,43.3,33.0,53.7,60.6,15.0,43.0,57.6,-,2014
,Colombia,36.5,33.4,41.5,68.5,50.4,14.2,46.2,65.7,-,2014
,China,30.3,43.7,69.9,65.1,54.1,26.1,31.2,84.7,-,2014
,Philippines,28.1,30.0,58.1,69.8,40.3,18.8,49.8,74.9,-,2014
,Pakistan,22.3,31.5,36.2,50.4,29.7,13.9,25.1,80.3,-,2014
,Ukraine,22.2,31.0,50.6,47.1,45.6,16.0,41.9,73.3,-,2014
,Indonesia,21.8,26.4,53.3,60.2,39.0,18.8,41.1,73.8,-,2014
,Lebanon,18.4,41.9,49.9,55.4,70.2,18.3,32.4,86.7,-,2014
,Russia,16.5,37.3,47.3,43.5,61.8,14.7,49.7,76.5,-,2014
,Egypt,5.4,25.6,47.6,61.3,38.3,11.1,60.8,91.2,-,2014
,Iran,-11.1,30.3,45.0,48.6,49.5,20.6,54.5,86.1,-,2014
,Mongolia,-26.7,25.6,33.8,27.2,57.4,15.7,36.9,95.0,-,2014
,Venezuela,-39.3,17.9,18.5,41.0,114.4,20.2,38.8,74.0,-,2014
,Switzerland,222.9,146.5,73.2,66.3,126.0,7.3,25.6,24.1,-,2015
,Germany,195.9,111.8,71.5,75.6,76.3,6.6,31.1,28.3,-,2015
,Sweden,193.9,110.9,57.9,76.3,82.9,9.2,26.9,15.1,-,2015
,United States,192.5,126.1,50.0,67.8,76.5,2.6,36.0,31.4,-,2015
,Finland,190.2,101.2,70.5,69.4,89.7,7.0,33.2,14.9,-,2015
,Denmark,190.2,105.7,74.3,79.3,100.6,5.0,27.8,31.8,-,2015
,Austria,182.6,104.6,73.8,78.4,76.9,9.6,25.9,34.0,-,2015
,Australia,180.8,110.4,57.8,71.9,99.3,7.1,36.2,21.6,-,2015
,Canada,177.6,105.1,62.5,69.6,81.8,5.5,38.9,27.3,-,2015
,New Zealand,175.5,91.0,60.2,72.6,93.7,5.8,28.1,17.6,-,2015
,Norway,175.1,96.3,68.8,75.5,118.6,7.7,25.3,23.7,-,2015
,Saudi Arabia,169.4,126.2,65.4,59.0,50.4,3.1,26.1,71.0,-,2015
,Japan,168.3,98.2,79.8,87.1,80.4,9.2,51.0,38.2,-,2015
,Netherlands,166.8,102.0,64.6,67.2,86.0,6.2,35.5,35.0,-,2015
,Turkmenistan,157.1,59.7,82.1,77.2,38.1,13.0,11.8,28.4,-,2015
,United Kingdom,156.9,98.1,58.0,73.9,92.2,8.6,34.0,34.0,-,2015
,Cyprus,154.9,71.0,68.4,78.4,72.5,7.4,19.0,32.9,-,2015
,United Arab Emirates,153.7,104.6,77.8,55.6,67.2,6.2,29.9,61.3,-,2015
,Ireland,148.9,95.7,50.9,49.5,92.1,6.1,32.6,28.0,-,2015
,Qatar,144.9,113.0,79.0,75.9,74.0,6.6,29.3,87.7,-,2015
,Estonia,144.6,51.4,71.9,73.1,61.2,11.6,22.4,15.5,-,2015
,France,139.3,92.6,50.3,82.6,88.4,9.7,28.6,45.9,-,2015
,Belgium,136.0,86.2,58.0,77.9,87.2,6.5,26.7,53.8,-,2015
,Spain,134.9,76.7,66.1,73.2,65.7,9.6,28.9,46.3,-,2015
,Slovenia,134.5,64.2,71.3,53.9,65.1,10.6,18.8,31.4,-,2015
,Portugal,129.2,58.2,64.2,65.6,58.2,8.3,28.2,32.6,-,2015
,Czech Republic,127.5,68.1,67.1,67.2,48.5,10.6,31.5,42.9,-,2015
,Puerto Rico,125.7,94.4,32.9,58.7,73.5,4.5,32.0,48.0,-,2015
,Kuwait,123.4,85.7,56.5,66.6,93.0,6.1,25.0,59.6,-,2015
,Israel,120.4,88.2,69.6,76.4,79.3,10.7,41.2,65.2,-,2015
,South Korea,120.0,85.8,82.0,78.1,82.9,11.0,31.3,77.1,-,2015
,Lithuania,112.9,46.9,63.3,70.1,52.8,12.9,31.3,29.6,-,2015
,Croatia,112.3,50.5,70.7,57.3,58.9,12.5,30.5,32.8,-,2015
,Singapore,111.3,75.4,82.4,66.1,93.6,21.4,44.1,40.4,-,2015
,South Africa,110.9,101.8,21.6,60.1,45.6,3.1,43.0,65.2,-,2015
,Poland,109.7,63.5,67.0,58.0,45.1,10.6,34.7,50.6,-,2015
,Slovakia,109.1,56.0,66.7,57.3,51.6,8.6,30.4,47.9,-,2015
,Italy,101.0,79.4,52.5,65.8,82.7,11.7,35.9,57.7,-,2015
,Latvia,99.0,44.4,62.8,67.1,55.9,12.2,24.0,43.4,-,2015
,Greece,94.7,51.9,58.6,56.7,68.9,9.7,33.2,44.9,-,2015
,Hungary,93.1,46.9,58.2,51.6,48.9,8.6,30.1,46.3,-,2015
,Uruguay,93.1,44.9,52.8,67.9,68.6,11.2,45.0,31.7,-,2015
,Taiwan,92.5,69.9,78.1,84.3,57.1,25.0,28.2,67.6,-,2015
,Panama,89.3,43.3,49.9,82.1,55.2,10.8,28.1,50.9,-,2015
,Malaysia,85.3,73.5,30.0,69.1,46.0,8.4,39.4,64.7,-,2015
,Mexico,85.0,59.5,46.2,67.8,41.3,6.3,36.9,68.8,-,2015
,Bahrain,84.1,59.7,60.0,84.4,56.2,7.9,27.0,87.4,-,2015
,Romania,83.6,40.6,70.3,46.6,42.4,11.8,30.7,50.5,-,2015
,Hong Kong,83.0,74.9,80.8,80.6,75.2,30.1,46.2,59.5,-,2015
,Turkey,82.5,53.6,63.6,74.0,49.6,6.7,46.3,74.3,-,2015
,India,78.6,65.8,53.5,66.9,26.3,10.1,45.2,77.7,-,2015
,Argentina,77.0,59.4,37.6,75.2,67.1,11.6,41.4,55.9,-,2015
,Bosnia And Herzegovina,73.5,44.7,54.2,52.1,42.3,12.5,21.9,58.5,-,2015
,Belarus,72.5,35.8,69.5,45.4,50.2,16.4,30.6,45.1,-,2015
,Bulgaria,68.3,39.9,56.5,58.5,43.6,9.4,33.4,64.0,-,2015
,Chile,65.5,55.1,55.0,58.5,53.2,10.8,40.8,72.4,-,2015
,Georgia,65.0,26.2,78.0,62.6,39.6,15.2,38.0,58.8,-,2015
,Serbia,60.3,39.1,56.6,54.1,43.3,17.1,27.8,56.6,-,2015
,Sri Lanka,49.9,28.2,50.0,74.3,41.7,14.3,30.8,65.7,-,2015
,Armenia,49.1,27.7,70.9,48.3,40.7,13.4,26.1,73.0,-,2015
,Colombia,47.7,36.1,43.1,68.9,38.9,14.4,44.5,61.4,-,2015
,Thailand,47.4,38.8,62.9,82.5,46.5,20.8,42.4,72.8,-,2015
,Kazakhstan,47.0,43.5,53.3,58.9,54.3,12.7,41.8,73.7,-,2015
,Ecuador,44.5,28.0,46.0,63.1,45.6,14.7,45.7,53.2,-,2015
,Dominican Republic,43.6,28.2,32.3,78.7,55.9,11.5,27.5,65.3,-,2015
,Moldova,42.1,23.7,50.3,52.7,34.7,17.1,24.6,57.2,-,2015
,Jordan,38.6,38.7,54.5,69.7,61.4,8.6,51.4,85.6,-,2015
,Philippines,37.0,35.4,56.9,71.7,40.0,18.5,45.5,74.2,-,2015
,Lebanon,32.8,50.2,48.0,65.8,67.6,16.2,32.4,89.1,-,2015
,Brazil,29.8,41.2,31.0,52.2,55.3,16.7,46.3,58.0,-,2015
,North Macedonia,28.9,35.5,63.9,35.1,37.4,15.4,33.2,82.3,-,2015
,Russia,28.4,38.9,48.7,51.8,61.9,14.6,47.1,72.8,-,2015
,Indonesia,22.7,26.0,52.8,66.1,39.3,18.9,41.6,74.4,-,2015
,Pakistan,21.8,33.2,38.8,51.2,30.7,14.3,25.1,83.7,-,2015
,Ukraine,20.1,27.9,50.6,44.3,41.3,17.4,40.0,69.9,-,2015
,China,16.0,48.6,58.3,58.7,48.9,26.4,37.5,89.4,-,2015
,Kenya,7.3,28.7,27.4,62.7,50.0,16.8,65.2,62.2,-,2015
,Bolivia,6.6,41.1,34.4,49.8,40.0,10.3,55.0,94.0,-,2015
,Nigeria,3.0,40.2,23.4,38.4,59.4,10.7,58.7,76.3,-,2015
,Iran,1.1,30.6,49.1,50.1,44.5,20.8,47.4,82.3,-,2015
,Cambodia,-4.4,11.9,55.9,54.2,57.0,21.1,33.3,80.1,-,2015
,Bangladesh,-5.4,33.4,35.8,43.3,39.2,10.9,58.0,93.6,-,2015
,Egypt,-7.1,25.8,39.9,54.7,37.2,11.3,56.9,96.6,-,2015
,Vietnam,-19.5,21.3,47.7,34.3,41.9,23.9,36.4,84.3,-,2015
,Mongolia,-35.7,23.5,29.7,28.3,52.3,18.6,36.9,94.6,-,2015
,Venezuela,-53.0,11.9,15.9,38.5,111.0,22.2,30.6,79.2,-,2015
,Switzerland,208.5,178.7,74.3,68.9,123.1,8.6,28.7,23.0,70.5,2016
,Denmark,206.5,142.1,74.3,81.9,84.9,5.9,25.6,29.9,70.6,2016
,New Zealand,201.1,115.5,63.6,72.6,78.2,6.3,31.1,19.0,88.4,2016
,Germany,199.7,147.6,67.0,75.8,65.5,7.1,29.1,29.9,63.0,2016
,Australia,198.8,147.3,56.9,73.7,78.5,8.4,34.7,22.9,77.3,2016
,Austria,192.4,120.5,75.9,77.8,66.6,9.5,26.8,30.8,63.8,2016
,Netherlands,192.4,129.3,68.5,70.4,72.1,5.9,35.5,32.8,76.3,2016
,Norway,188.9,125.8,69.9,74.2,99.8,7.4,29.5,18.2,56.3,2016
,Spain,186.4,105.3,68.2,75.9,56.1,8.1,30.5,46.6,90.8,2016
,Sweden,185.8,128.2,56.9,74.3,75.7,11.2,32.0,18.3,61.8,2016
,Finland,184.0,132.9,71.9,74.4,75.2,7.7,32.9,17.8,32.6,2016
,United States,184.0,139.2,51.1,67.8,74.1,3.4,33.4,34.9,67.6,2016
,Portugal,181.2,75.5,64.9,69.0,49.8,8.4,30.6,31.8,91.7,2016
,United Kingdom,180.2,120.0,56.9,74.0,81.0,9.3,35.5,35.0,81.6,2016
,Canada,177.2,134.8,60.8,68.6,64.8,6.1,37.8,29.5,46.2,2016
,Japan,176.1,117.6,80.7,80.4,81.3,20.2,48.4,34.0,79.6,2016
,Slovenia,175.9,89.8,73.7,58.5,52.2,9.7,25.0,28.2,62.5,2016
,France,173.6,118.5,55.9,82.2,75.3,11.9,32.0,46.3,78.3,2016
,Croatia,172.4,67.9,70.5,60.0,48.2,11.9,30.0,30.4,85.6,2016
,Ireland,171.9,125.7,51.6,50.4,78.0,8.5,32.3,30.8,73.1,2016
,South Korea,170.3,120.6,85.7,79.0,73.2,14.9,30.9,49.7,51.3,2016
,Czech Republic,167.4,90.0,67.9,72.3,41.8,10.3,32.5,42.5,63.5,2016
,Israel,166.6,115.5,69.4,76.1,75.7,10.6,37.8,61.5,81.9,2016
,Greece,165.4,79.3,61.5,59.2,54.4,7.4,29.1,47.2,87.1,2016
,Belgium,162.3,106.7,54.8,78.1,75.4,6.6,36.2,56.6,77.0,2016
,Italy,159.3,105.7,53.8,67.8,68.8,10.4,36.5,56.6,86.2,2016
,Saudi Arabia,159.2,167.9,74.8,65.1,47.6,2.8,38.7,72.2,16.8,2016
,South Africa,156.7,126.1,21.6,59.6,34.7,3.3,43.2,63.3,91.4,2016
,Poland,153.6,80.8,68.6,60.0,38.5,11.0,34.5,49.9,64.3,2016
,Chile,147.3,78.4,58.0,61.1,43.9,9.9,33.8,67.2,85.7,2016
,Bosnia And Herzegovina,146.7,60.6,57.5,60.5,34.6,10.9,23.4,57.9,75.3,2016
,Romania,146.1,61.9,70.3,51.4,34.8,10.6,33.3,50.5,67.0,2016
,United Arab Emirates,144.1,136.4,76.9,58.2,66.1,5.4,33.7,59.5,5.9,2016
,Bulgaria,141.6,59.2,58.6,50.9,36.4,8.8,28.7,60.4,77.8,2016
,Hungary,140.7,56.3,58.1,52.1,41.3,9.8,31.8,46.7,66.9,2016
,Argentina,138.5,74.9,36.7,73.7,64.1,12.2,42.4,58.5,91.7,2016
,Serbia,138.3,49.6,56.7,55.9,33.6,16.6,28.4,55.1,83.9,2016
,Turkey,137.3,64.1,60.6,73.0,45.1,8.1,48.1,65.7,74.2,2016
,Mexico,137.0,76.5,49.2,68.1,35.0,6.2,37.1,64.6,58.8,2016
