Product Name,Price,Materials,Factory,Factory Link,Product Type,Country
The Original Curvy Cheeky® Jean,118.0,"['Organic cotton', 'Elastane']",Made at our Hirdaramani Factory in Sri Lanka.,Factory Link Not Found,Jeans,['Sri Lanka']
The Way-High® Jean,142.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The A-Line Denim Short,81.0,['Organic cotton'],Made at our Hirdaramani Factory in Sri Lanka.,Factory Link Not Found,Jeans,['Sri Lanka']
The Summer Barrel Jean,142.0,"['Organic cotton', 'Tencel™ with refibra™']",Made at Phong Phu International Joint Stock Company in Vietnam.,Factory Link Not Found,Jeans,['Vietnam']
The Cheeky Relaxed Straight Jean,142.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Curve Jean,154.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Cheeky Relaxed Straight Jean,142.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Sailor Jean,154.0,"['Organic cotton', 'Elastane', 'Other fibers']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Original Cheeky® Jean,118.0,"['Organic cotton', 'Elastane']",Made at our Hirdaramani Factory in Sri Lanka.,Factory Link Not Found,Jeans,['Sri Lanka']
The Curvy Way-High® Jean,142.0,['Elastane'],"Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Sailor Jean,154.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Cheeky Relaxed Jean Short,81.0,['Organic cotton'],Made at Phong Phu International Joint Stock Company in Vietnam.,Factory Link Not Found,Jeans,['Vietnam']
The Way-High® Gardener Cropped Jean,165.0,['Organic cotton'],Made at Hirdaramani in Vietnam,Factory Link Not Found,Jeans,['Vietnam']
The Way-High® Sailor Jean,154.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Kick Bootcut Jean,154.0,"['Organic cotton', 'Lenzing™ ecovero™ viscose', 'Recycled polyester', 'Modal', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,"['Sri Lanka', 'China']"
The Way-High® Gardener Cropped Jean,165.0,['Organic cotton'],Made at Hirdaramani in Vietnam,Factory Link Not Found,Jeans,['Vietnam']
The Denim Barrel Jacket,177.0,['Organic cotton'],"Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Cheeky Relaxed Jean Short,81.0,['Organic cotton'],Made at Phong Phu International Joint Stock Company in Vietnam.,Factory Link Not Found,Jeans,"['Sri Lanka', 'China']"
The Kick Bootcut Jean,154.0,"['Organic cotton', 'Lenzing™ ecovero™ viscose', 'Polyester', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Cheeky Relaxed Jean Short,81.0,"['Organic cotton', 'Elastane']",Made at Phong Phu International Joint Stock Company in Vietnam.,Factory Link Not Found,Jeans,['Vietnam']
The Way-High® Curve Jean,154.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Curve Jean,154.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Curve Jean,154.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Rigid Way-High® Jean,132.0,['Organic cotton'],"Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Skinny Jean,105.0,"['Organic cotton', 'Viscose', 'Recycled polyester', 'Elastane']",Made at our Hirdaramani Factory in Sri Lanka.,Factory Link Not Found,Jeans,['Sri Lanka']
The Cheeky Relaxed Straight Jean,142.0,['Organic cotton'],"Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Original Cheeky® Jean,118.0,"['Organic cotton', 'Elastane']",Made at Phong Phu International J.S.C in Vietnam,Factory Link Not Found,Jeans,['Vietnam']
The Way-High® Curve Jean,154.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,"['Sri Lanka', 'China']"
The Cheeky Relaxed Jean Short,81.0,"['Organic cotton', 'Elastane']",Made at Phong Phu International Joint Stock Company in Vietnam.,Factory Link Not Found,Jeans,['Vietnam']
The Way-High® Skinny Jean,105.0,"['Organic cotton', 'Viscose', 'Recycled polyester', 'Elastane']",Made at our Hirdaramani Factory in Sri Lanka.,Factory Link Not Found,Jeans,['Sri Lanka']
The ’90s Cheeky® Jean,132.0,"['Organic cotton', 'Recycled cotton']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Original Cheeky® Jean,118.0,"['Organic cotton', 'Elastane']",Made at our Hirdaramani Factory in Sri Lanka.,Factory Link Not Found,Jeans,['Sri Lanka']
The Denim Barrel Jacket,177.0,['Organic cotton'],"Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Gardener Cropped Jean,165.0,['Organic cotton'],Made at Hirdaramani in Vietnam,Factory Link Not Found,Jeans,['Vietnam']
The A-Line Denim Short,81.0,['Organic cotton'],Made at our Hirdaramani Factory in Sri Lanka.,Factory Link Not Found,Jeans,['Sri Lanka']
The ’90s Cheeky® Jean,132.0,['Organic cotton'],"Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,"['Sri Lanka', 'China']"
The Curvy Way-High® Jean,142.0,['Other fibers'],"Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Jean,142.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Curve Jean,154.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Slim Jean,118.0,"['Regenerative cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Super-Soft Relaxed Jean,118.0,"['Organic cotton', 'Tencel™ with refibra™']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Jean,142.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Original Curvy Cheeky® Jean,118.0,"['Organic cotton', 'Elastane']",Made at our Hirdaramani Factory in Sri Lanka.,Factory Link Not Found,Jeans,['Sri Lanka']
The Super-Soft Relaxed Jean,118.0,"['Organic cotton', 'Tencel™ with refibra™']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Rigid Way-High® Jean,132.0,['Organic cotton'],"Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Modern Jean Jacket,105.0,"['Organic cotton', 'Elastane']",Made at our Hirdaramani Factory in Sri Lanka.,Factory Link Not Found,Jeans,['Sri Lanka']
The Way-High® Slim Jean,118.0,"['Regenerative cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,"['Sri Lanka', 'China']"
The Curvy Way-High® Skinny Jean,105.0,"['Organic cotton', 'Viscose', 'Recycled polyester', 'Elastane']",Made at our Hirdaramani Factory in Sri Lanka.,Factory Link Not Found,Jeans,['Sri Lanka']
The Way-High® Skinny Jean,105.0,"['Organic cotton', 'Viscose', 'Recycled polyester', 'Modal', 'Elastane']",Made at our Hirdaramani Factory in Sri Lanka.,Factory Link Not Found,Jeans,['Sri Lanka']
The Way-High® Slim Jean,118.0,"['Organic cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Way-High® Skinny Jean,105.0,"['Organic cotton', 'Viscose', 'Recycled polyester', 'Modal', 'Elastane']",Made at our Hirdaramani Factory in Sri Lanka.,Factory Link Not Found,Jeans,['Sri Lanka']
The Utility Barrel Pant,142.0,"['Regenerative cotton', 'Elastane']","Made in Bien Hoa, VN",/factories/denim-saitex,Jeans,['Vietnam']
The Supima® Form Cap-Sleeve Tee,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Linen Scoop-Neck Top,105.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Ribbed Baby Tee,43.0,['Elastane'],"Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Supima® Micro-Rib Long-Sleeve Crew,60.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Linen Boyfriend Shirt,118.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Organic Cotton Long-Sleeve Crew,48.0,['Organic cotton'],"Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Rib-Knit Organic Cotton Tank,70.0,"['Organic cotton', 'Lenzing™ ecovero™ viscose', 'Elastane']","Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Air Cami,36.0,['Cotton'],"Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Supima® Micro-Rib Crew,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Supima® Cotton Boyfriend Shirt,118.0,['Supima® cotton'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Rib-Knit Organic Cotton Tank,70.0,"['Organic cotton', 'Lenzing™ ecovero™ viscose', 'Elastane']","Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The City Stripe Relaxed Shirt,154.0,"['Viscose', 'Repreve® recycled polyester']",Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Supima® Form Tank,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,"['Sri Lanka', 'China']"
The Linen Relaxed Shirt,105.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Supima® Form Crew Neck Tee,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Organic Cotton Muscle Tee,43.0,['Organic cotton'],Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,"['Sri Lanka', 'China']"
The Dream V-Neck Top,70.0,"['Organic cotton', 'Modal', 'Elastane']","Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Relaxed Oxford Shirt,105.0,['Organic cotton'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The TENCEL™ Gathered Shirt,132.0,['Tencel™ lyocell'],Made at Phong Phu International Joint Stock Company in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Supima® Cotton Boyfriend Shirt,118.0,['Supima® cotton'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Organic Cotton Box-Cut Tee,36.0,['Organic cotton'],"Made in Kandy, LK",/factories/underwear,Tops,['Sri Lanka']
The Organic Cotton Slim V-Neck Tee,36.0,['Organic cotton'],Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Modern Breton Tee,81.0,['Organic cotton'],"Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Supima® Micro Rib Long-Sleeve Henley,60.0,"['Supima® cotton', 'Elastane']","Made in Lima, PE",/factories/pima-tees,Tops,['Peru']
The Air Cami,36.0,['Cotton'],"Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,"['Sri Lanka', 'China']"
The Ribbed Mockneck Tank,43.0,"['Organic cotton', 'Elastane']","Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Boxy Oxford,105.0,['Organic cotton'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Supima® Form Tank,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Organic Cotton Box-Cut Tee,36.0,['Organic cotton'],"Made in Kandy, LK",/factories/underwear,Tops,['Sri Lanka']
The Linen Scoop-Neck Tank,81.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Relaxed Oxford Shirt,105.0,['Organic cotton'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Gathered Neck Top,118.0,['Viscose'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Organic Cotton Box-Cut Tee,36.0,['Organic cotton'],"Made in Kandy, LK",/factories/underwear,Tops,['Sri Lanka']
The Supima® Micro-Rib Scoop-Neck Tee,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Rib Soft Knit Open Collar Polo,70.0,"['Tencel™ lyocell', 'Elastane']","Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Washable Clean Silk Relaxed Shirt,180.0,['Silk'],"Made in Nanchong, CN",/factories/silk,Tops,['China']
The Washable Clean Silk Short-Sleeve Square Shirt,168.0,['Silk'],"Made in Nanchong, CN",/factories/silk,Tops,['China']
The Supima® Micro-Rib Scoop-Neck Tee,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Premium Weight Muscle Tee,54.0,['Organic cotton'],"Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Supima® Micro-Rib Tank,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Drapey Square Shirt,94.0,['Tencel™ lyocell'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Washable Clean Silk Two-Pocket Relaxed Shirt,180.0,['Silk'],"Made in Nanchong, CN",/factories/silk,Tops,"['Sri Lanka', 'China']"
The Dream V-Neck Top,70.0,"['Organic cotton', 'Modal', 'Elastane']","Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Organic Cotton Slim V-Neck Tee,36.0,['Organic cotton'],Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Linen High-Neck Tank,81.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Air Oversized Crew Tee,36.0,['Cotton'],"Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Linen Short-Sleeve Notch Shirt,94.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Supima® Micro-Rib Tank,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Rib Muscle Tee,81.0,"['Tencel™ lyocell', 'Elastane']","Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Organic Cotton Muscle Tee,43.0,['Organic cotton'],Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Organic Cotton Box-Cut Tee,36.0,['Organic cotton'],"Made in Kandy, LK",/factories/underwear,Tops,['Sri Lanka']
The Short-Sleeve Crew Neck Bodysuit,48.0,"['Supima® cotton', 'Elastane']","Made in Kandy, LK",/factories/underwear,Tops,['Sri Lanka']
The Organic Cotton Slouchy V-Neck,36.0,['Organic cotton'],"Made in Kandy, LK",/factories/underwear,Tops,['Sri Lanka']
The Organic Cotton Box-Cut Tee,36.0,['Organic cotton'],"Made in Kandy, LK",/factories/underwear,Tops,['Sri Lanka']
The Rib Soft Knit Open Collar Polo,70.0,"['Tencel™ lyocell', 'Elastane']","Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Organic Cotton Slim Crew Tee,36.0,['Organic cotton'],Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Rib-Knit Crew,94.0,"['Organic cotton', 'Lenzing™ ecovero™ viscose', 'Elastane']",Made at Nobland International Korea.,Factory Link Not Found,Tops,"['Sri Lanka', 'China']"
The Washable Clean Silk Scoop-Neck Tank,132.0,['Silk'],"Made in Nanchong, CN",/factories/silk,Tops,['China']
The Linen Popover Shirt,105.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Supima® Micro-Rib Crew,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Linen Scoop-Neck Tank,81.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,"['Sri Lanka', 'China']"
The Relaxed Oxford Shirt,105.0,['Organic cotton'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Rib-Knit Organic Cotton Short-Sleeve Crew,81.0,"['Organic cotton', 'Lenzing™ ecovero™ viscose', 'Elastane']","Made in Ho Chi Minh, VN",/factories/vietnam-knits,Tops,['Vietnam']
The Washable Clean Silk Short-Sleeve Square Shirt,168.0,['Silk'],"Made in Nanchong, CN",/factories/silk,Tops,['China']
The Supima® Micro-Rib Tank,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Linen Relaxed Shirt,105.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Supima® Micro-Rib Racerback Tank,48.0,"['Supima cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The TENCEL™ Boxy Shirt,118.0,['Tencel™ lyocell'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Supima® Micro-Rib Crew,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Supima® Micro-Rib Crew,48.0,"['Supima® cotton', 'Elastane']",Made at Shinwon in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
The Linen Relaxed Shirt,105.0,['European flax™ linen'],Made at Poong In in Vietnam.,Factory Link Not Found,Tops,['Vietnam']
